quarter,actual_rr,pred_rr,rmse,mae,mape
2007Q1,0.133173241,0.12576474,1.911606987,1.897116373,7.60555279
2007Q2,0.156825884,0.132093336,2.488793043,2.4732548,6.772167735
2007Q3,0.172866602,0.139840025,3.969893693,3.302657714,14.90790658
2007Q4,0.177733449,0.140725872,3.879398403,3.700757707,26.50697149
2008Q1,0.176372062,0.165110444,1.546231377,1.126161809,73.05886249
2008Q2,0.199268882,0.192913286,1.062950094,0.911003774,35.47090709
2008Q3,0.228256107,0.197378266,3.301472867,3.08778408,45.29826526
2008Q4,0.259871666,0.226364698,4.05010419,3.350696812,29.25698726
2009Q1,0.255374169,0.252185763,2.037951777,1.732655896,41.5703616
2009Q2,0.273655687,0.288888422,1.872715522,1.523273455,17.7377926
2009Q3,0.261771744,0.274023189,4.210786679,4.195898146,11.76962292
2009Q4,0.249317254,0.250176397,0.462612448,0.435423631,6.724453841
2010Q1,0.193702246,0.245554531,5.459203452,5.185228452,8.1474403
2010Q2,0.206141931,0.199095023,1.694867524,1.303498865,6.041465811
2010Q3,0.204289452,0.199795415,0.97572505,0.675308103,3.23732681
2010Q4,0.189152716,0.195218691,0.836127392,0.673029105,3.641117656
2011Q1,0.167038773,0.185410539,3.148381283,2.261432013,9.13743192
2011Q2,0.173619082,0.165607375,1.534168594,0.9651955,5.074486801
2011Q3,0.180111649,0.165575595,1.759165626,1.453605455,7.660559787
2011Q4,0.172769561,0.155293712,1.925665272,1.747584875,9.91910318
2012Q1,0.16358927,0.160810673,0.923090643,0.791316488,4.767699188
2012Q2,0.180697144,0.163796038,2.028523094,1.690110572,9.03535518
2012Q3,0.181820038,0.167135559,3.065583362,2.434323347,7.45289072
2012Q4,0.17984143,0.151369469,3.337976575,2.847196048,8.03833186
2013Q1,0.147459592,0.185015055,3.773767659,3.755546269,6.00224659
2013Q2,0.157925264,0.131224599,3.57961697,2.67006646,9.23732502
2013Q3,0.151568147,0.148269594,0.529970212,0.378998989,2.439710761
2013Q4,0.146125594,0.140169405,1.302166098,0.951579495,6.0812384
2014Q1,0.137422363,0.135338035,1.45999269,1.356137247,3.09291312
2014Q2,0.150204426,0.137875052,1.343635061,1.232937424,8.093766934
2014Q3,0.145102716,0.137866093,1.111474461,0.764178439,4.928219754
2014Q4,0.143000692,0.132806517,2.55472713,2.178602451,4.57355277
2015Q1,0.121047501,0.128190255,1.752286312,1.49906989,5.43928785
2015Q2,0.133933493,0.126633856,1.347908252,1.076982651,7.64201759
2015Q3,0.144220818,0.117797956,2.787680996,2.642286265,8.00826088
2015Q4,0.135765654,0.14126005,1.104144604,0.975997829,7.387897111
2016Q1,0.115875148,0.120937428,1.832670978,1.751629275,7.26804812
2016Q2,0.137053757,0.117315678,2.028510748,1.973807897,6.30393991
2016Q3,0.14391531,0.129657241,2.086522941,1.839660545,4.22847415
2016Q4,0.133002746,0.145368013,1.738509884,1.236526662,7.95672693
2017Q1,0.120904158,0.13165568,2.695435638,2.240545881,21.66882668
2017Q2,0.122114748,0.102405586,2.387523149,1.970916143,15.15984516
2017Q3,0.178657649,0.124908077,7.349886098,5.374957143,24.97300663
2017Q4,0.211408563,0.250515307,10.71305398,10.31553305,65.95384612
2018Q1,0.115456051,0.107870008,1.899988932,1.842070542,16.02064727
2018Q2,0.127957392,0.121339906,0.953796872,0.738833245,5.542238281
2018Q3,0.132748091,0.125196173,2.017239173,1.611943577,11.47874495
2018Q4,0.136217608,0.111986677,2.59318669,2.423093149,7.38943683
2019Q1,0.118388337,0.121887836,1.492442936,1.467727826,12.47548673
2019Q2,0.123988254,0.119766714,1.701297023,1.371554994,6.74797761
2019Q3,0.136679252,0.108733154,3.757511919,2.794609821,9.28916821
2019Q4,0.133106792,0.120146669,1.446071416,1.296012225,8.530263753
2020Q1,0.185017594,0.128332119,8.819865825,5.668547459,12.35097649
2020Q2,0.571015555,0.138419256,44.82786541,43.2596299,74.5922666
2020Q3,0.34866288,0.419967926,7.57026667,7.130504642,21.08452111
2020Q4,0.2840443,0.321232835,3.956566395,3.718853474,16.34216972
